Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egz.
Lukas          Lukaitis       1         3         9         9         4         1
Lukas          Antanaitis     1         3         8         8         2         2
Matas          Lukaitis       10        9         1         8         1         1
Virgis         Antanaitis     1         10        5         9         9         1
Matas          Tomaitis       5         9         6         7         8         3
Petras         Virgaitis      9         10        3         9         4         8
Mantas         Petraitis      3         8         7         7         9         9
Virgis         Mataitis       2         7         2         3         10        7
Valdas         Romaitis       2         5         10        4         7         1
Valdas         Mataitis       5         1         1         1         5         5
Lukas          Valdaitis      10        1         2         1         3         9
Romas          Tomaitis       10        9         3         7         7         3
Romas          Petraitis      7         2         1         9         9         8
Tomas          Mantaitis      1         1         1         2         9         7
Tomas          Kazaitis       2         3         1         9         2         3
Romas          Jonaitis       3         4         5         3         7         10
Valdas         Tomaitis       3         4         6         7         8         4
Jonas          Valdaitis      9         2         10        6         10        5
Matas          Mantaitis      2         5         10        10        3         5
Mantas         Lukaitis       9         6         4         5         10        1
Virgis         Mataitis       10        8         10        1         9         6
Lukas          Valdaitis      7         6         8         4         10        7
Kazys          Tomaitis       4         3         3         10        7         1
Petras         Lukaitis       9         4         6         4         2         7
Jonas          Tomaitis       3         9         9         9         7         2
Valdas         Antanaitis     10        6         5         6         2         7
Virgis         Mataitis       9         1         5         3         1         6
Lukas          Valdaitis      6         6         10        7         5         1
Kazys          Jonaitis       8         4         4         6         8         2
Petras         Tomaitis       8         6         8         8         9         5
Kazys          Virgaitis      6         2         4         6         7         6
Mantas         Mataitis       4         9         10        8         8         7
Valdas         Romaitis       8         8         10        9         3         6
Valdas         Jonaitis       1         3         2         2         4         3
Lukas          Mantaitis      10        9         1         1         4         9
Antanas        Jonaitis       6         3         7         2         7         5
Petras         Kazaitis       10        5         2         5         9         9
Romas          Tomaitis       8         6         10        1         7         4
Lukas          Valdaitis      1         6         6         8         10        5
Kazys          Mantaitis      5         1         6         5         8         3
Antanas        Valdaitis      7         9         8         3         1         7
Matas          Jonaitis       2         2         9         9         6         9
Mantas         Kazaitis       7         1         3         3         2         4
Tomas          Romaitis       10        4         3         8         5         3
Romas          Antanaitis     3         6         4         3         4         5
Jonas          Mantaitis      5         3         3         6         6         3
Virgis         Kazaitis       9         8         5         10        4         1
Mantas         Petraitis      3         2         8         3         1         3
Virgis         Romaitis       8         7         7         1         6         6
Kazys          Jonaitis       1         7         8         6         10        9
Kazys          Mantaitis      9         9         7         10        2         10
Mantas         Virgaitis      9         2         8         3         4         2
Tomas          Lukaitis       8         1         5         5         7         7
Virgis         Virgaitis      10        3         6         3         6         4
Kazys          Mataitis       7         9         5         10        6         10
Matas          Tomaitis       9         8         7         1         3         2
Jonas          Tomaitis       8         9         10        5         10        10
Jonas          Antanaitis     9         4         4         8         6         5
Mantas         Lukaitis       7         2         3         8         1         7
Mantas         Mataitis       2         10        2         10        8         7
Mantas         Virgaitis      3         7         4         6         6         10
Lukas          Kazaitis       2         9         2         9         3         4
Matas          Kazaitis       2         7         3         8         9         7
Valdas         Virgaitis      10        9         3         6         1         1
Virgis         Jonaitis       3         10        8         5         8         10
Matas          Antanaitis     8         5         4         6         3         6
Virgis         Kazaitis       4         3         10        3         3         6
Lukas          Tomaitis       2         1         8         3         1         10
Antanas        Mataitis       7         5         8         10        3         7
Romas          Jonaitis       10        8         7         2         7         4
Romas          Mantaitis      6         1         2         7         5         8
Valdas         Valdaitis      3         7         9         9         2         3
Petras         Antanaitis     4         5         4         6         10        4
Matas          Kazaitis       4         8         5         1         7         7
Kazys          Lukaitis       8         6         3         9         2         10
Valdas         Virgaitis      6         8         6         3         4         2
Lukas          Virgaitis      1         5         2         9         5         4
Antanas        Kazaitis       1         5         7         5         5         1
Lukas          Romaitis       1         3         5         5         5         4
Jonas          Lukaitis       3         1         3         3         9         8
Lukas          Romaitis       7         3         3         6         6         4
Tomas          Lukaitis       10        7         7         7         1         4
Matas          Petraitis      10        1         7         10        10        4
Lukas          Valdaitis      9         1         2         4         3         6
Jonas          Kazaitis       9         7         8         4         10        1
Jonas          Virgaitis      6         5         9         8         5         7
Petras         Mantaitis      3         4         9         4         10        1
Kazys          Lukaitis       10        3         8         7         2         6
Tomas          Valdaitis      6         6         10        8         9         3
Matas          Antanaitis     6         7         8         6         2         1
Lukas          Kazaitis       8         8         8         6         4         5
Romas          Virgaitis      9         10        4         6         7         4
Jonas          Lukaitis       7         9         9         10        10        7
Petras         Lukaitis       2         4         1         5         10        6
Virgis         Valdaitis      2         1         6         10        9         1
Lukas          Petraitis      3         9         1         9         6         9
Virgis         Mataitis       6         4         3         6         4         7
Mantas         Jonaitis       5         4         5         8         8         8
Valdas         Virgaitis      10        2         5         8         4         7
Virgis         Tomaitis       10        8         8         10        1         1
Virgis         Antanaitis     7         5         5         2         7         6
Matas          Tomaitis       6         7         10        7         6         2
Tomas          Petraitis      8         3         8         4         4         5
Valdas         Kazaitis       6         1         3         8         3         9
Antanas        Jonaitis       10        3         2         1         7         9
Lukas          Petraitis      5         3         7         2         10        6
Jonas          Kazaitis       1         7         10        8         7         8
Kazys          Lukaitis       5         10        8         7         9         8
Antanas        Jonaitis       5         2         10        6         4         2
Petras         Petraitis      4         8         8         8         5         1
Lukas          Virgaitis      9         10        4         3         8         3
Jonas          Jonaitis       1         3         8         1         3         5
Antanas        Antanaitis     5         10        7         7         8         5
Valdas         Kazaitis       3         6         6         2         7         9
Valdas         Valdaitis      1         2         5         10        3         8
Tomas          Tomaitis       4         3         2         2         9         7
Jonas          Mataitis       4         10        6         7         5         10
Jonas          Kazaitis       7         3         9         6         9         9
Virgis         Tomaitis       3         8         8         10        10        9
Kazys          Valdaitis      7         10        2         5         7         5
Lukas          Valdaitis      7         1         10        8         8         5
Valdas         Lukaitis       9         5         8         4         4         6
Petras         Mantaitis      6         9         10        5         7         1
Matas          Lukaitis       1         8         9         7         10        2
Lukas          Tomaitis       5         5         7         7         9         10
Kazys          Petraitis      1         3         9         3         8         1
Lukas          Antanaitis     8         10        4         7         4         1
Jonas          Petraitis      5         3         4         1         3         4
Lukas          Antanaitis     9         5         8         3         9         10
Kazys          Romaitis       10        8         3         1         4         1
Mantas         Jonaitis       8         2         7         5         6         8
Tomas          Jonaitis       1         9         8         7         5         5
Petras         Jonaitis       3         7         7         6         2         7
Lukas          Mataitis       3         9         4         8         6         8
Tomas          Lukaitis       3         10        1         9         9         8
Romas          Valdaitis      3         3         3         2         9         1
Romas          Kazaitis       10        5         7         2         3         4
Kazys          Lukaitis       5         6         7         7         9         6
Mantas         Mantaitis      4         9         8         6         4         7
Mantas         Valdaitis      4         7         5         4         8         6
Kazys          Kazaitis       1         9         6         8         3         3
Kazys          Jonaitis       5         5         7         3         4         7
Valdas         Antanaitis     3         6         1         7         9         10
Petras         Mataitis       6         10        2         10        9         10
Matas          Romaitis       1         2         9         8         9         10
Antanas        Virgaitis      6         10        3         9         4         10
Matas          Valdaitis      5         6         10        4         6         1
Mantas         Jonaitis       2         9         10        6         8         7
Romas          Romaitis       10        5         1         6         1         8
Jonas          Antanaitis     10        3         2         9         4         8
Mantas         Lukaitis       7         5         6         4         7         5
Romas          Lukaitis       1         10        7         8         7         6
Mantas         Lukaitis       7         7         5         8         5         7
Lukas          Virgaitis      10        4         9         4         8         4
Romas          Romaitis       7         6         3         3         5         5
Lukas          Kazaitis       10        7         5         9         8         7
Valdas         Romaitis       6         6         2         7         8         6
Tomas          Jonaitis       4         2         9         5         3         8
Romas          Romaitis       8         8         6         2         8         1
Romas          Petraitis      7         3         9         1         7         9
Antanas        Mataitis       8         6         8         4         4         3
Virgis         Romaitis       5         8         4         5         9         10
Jonas          Jonaitis       8         1         10        1         3         7
Valdas         Valdaitis      2         7         1         10        10        6
Tomas          Jonaitis       5         9         4         5         9         7
Romas          Lukaitis       2         7         9         6         1         5
Lukas          Valdaitis      3         9         8         10        6         6
Petras         Romaitis       3         8         1         10        4         2
Virgis         Kazaitis       3         7         1         2         2         10
Valdas         Mantaitis      8         3         1         7         10        9
Mantas         Romaitis       7         9         7         2         1         6
Tomas          Jonaitis       1         5         8         4         5         4
Mantas         Kazaitis       8         10        5         1         1         3
Romas          Mataitis       10        9         4         10        8         7
Matas          Mataitis       3         1         10        3         9         6
Kazys          Valdaitis      10        8         2         9         1         7
Jonas          Jonaitis       10        3         4         1         5         9
Tomas          Antanaitis     7         3         9         7         5         3
Valdas         Antanaitis     6         9         2         4         3         8
Virgis         Mantaitis      7         3         5         8         7         2
Tomas          Mataitis       8         7         7         5         8         8
Mantas         Petraitis      5         9         3         4         3         8
Mantas         Virgaitis      1         3         10        10        5         5
Matas          Tomaitis       7         4         4         2         7         7
Valdas         Romaitis       8         10        6         6         6         3
Kazys          Petraitis      7         8         4         2         1         9
Mantas         Mataitis       4         4         3         6         10        6
Lukas          Tomaitis       7         2         5         4         3         9
Valdas         Valdaitis      2         1         2         4         4         8
Antanas        Mataitis       9         6         2         10        7         5
Valdas         Valdaitis      3         6         2         8         2         8
Petras         Tomaitis       8         6         1         5         8         6
Kazys          Mataitis       2         4         2         6         7         6
Matas          Mataitis       8         2         9         3         4         2
Virgis         Romaitis       10        4         4         1         7         2
Romas          Jonaitis       10        5         2         7         8         2
Romas          Lukaitis       4         5         7         5         4         9
Antanas        Antanaitis     2         3         6         4         7         3
Romas          Tomaitis       7         8         6         8         10        2
Antanas        Kazaitis       8         2         2         10        2         7
Mantas         Petraitis      5         5         5         10        3         9
Lukas          Romaitis       2         7         5         3         9         6
Petras         Valdaitis      4         6         4         10        9         5
Romas          Jonaitis       1         8         8         6         10        2
Antanas        Jonaitis       8         8         10        2         3         5
Valdas         Kazaitis       3         6         4         5         4         6
Matas          Virgaitis      5         6         1         10        10        3
Jonas          Petraitis      1         7         7         8         8         1
Virgis         Tomaitis       3         9         10        10        4         1
Valdas         Tomaitis       9         10        5         7         10        7
Mantas         Antanaitis     1         10        9         10        4         3
Virgis         Valdaitis      4         1         9         2         1         10
Petras         Mantaitis      9         9         8         9         3         6
Jonas          Kazaitis       9         6         1         9         1         4
Petras         Valdaitis      6         9         5         10        4         6
Lukas          Mataitis       7         7         10        1         5         2
Valdas         Romaitis       9         6         3         7         10        7
Lukas          Antanaitis     6         9         2         8         9         2
Jonas          Mantaitis      7         8         2         3         4         6
Petras         Jonaitis       4         6         3         6         4         5
Mantas         Romaitis       8         3         5         8         9         7
Virgis         Valdaitis      10        1         1         2         6         3
Petras         Virgaitis      3         9         1         4         10        2
Valdas         Valdaitis      1         9         2         10        10        9
Romas          Lukaitis       6         9         2         6         9         9
Romas          Lukaitis       4         1         6         8         10        7
Mantas         Jonaitis       4         2         6         3         4         10
Romas          Petraitis      8         10        8         6         1         1
Virgis         Kazaitis       6         2         8         6         4         7
Kazys          Romaitis       3         5         9         6         7         4
Matas          Romaitis       2         7         6         3         9         7
Matas          Virgaitis      6         1         6         6         3         1
Jonas          Jonaitis       3         6         1         10        8         10
Matas          Kazaitis       1         7         2         9         9         4
Mantas         Petraitis      3         5         1         4         2         4
Lukas          Mantaitis      8         2         9         9         5         7
Petras         Antanaitis     2         10        1         4         7         3
Valdas         Jonaitis       3         10        1         2         8         3
Mantas         Mantaitis      3         9         7         4         7         9
Virgis         Petraitis      9         6         7         10        7         2
Valdas         Antanaitis     2         5         10        3         3         5
Jonas          Petraitis      7         2         1         7         8         4
Jonas          Virgaitis      8         8         9         7         7         10
Mantas         Mataitis       1         5         5         6         1         5
Mantas         Mataitis       3         1         9         10        3         3
Matas          Antanaitis     7         2         5         3         8         5
Antanas        Jonaitis       2         5         9         4         9         8
Kazys          Valdaitis      3         10        2         5         9         1
Jonas          Mataitis       8         2         8         2         2         10
Matas          Mantaitis      2         8         1         1         9         7
Petras         Kazaitis       8         8         5         2         1         2
Lukas          Antanaitis     1         7         8         1         6         1
Jonas          Romaitis       9         1         6         9         6         4
Romas          Mantaitis      6         4         3         10        9         4
Kazys          Lukaitis       7         10        10        6         7         4
Jonas          Romaitis       10        9         8         3         3         5
Virgis         Tomaitis       5         9         8         5         4         7
Tomas          Virgaitis      1         2         10        4         8         5
Mantas         Valdaitis      7         6         10        5         5         4
Virgis         Tomaitis       10        6         7         10        4         5
Tomas          Petraitis      9         4         5         8         6         10
Jonas          Jonaitis       6         1         3         7         10        1
Kazys          Lukaitis       7         3         6         8         6         10
Valdas         Mataitis       10        9         2         5         2         5
Petras         Tomaitis       6         9         4         1         3         9
Kazys          Antanaitis     6         10        3         10        7         7
Lukas          Lukaitis       1         5         4         5         6         5
Petras         Valdaitis      10        4         9         2         10        8
Antanas        Mataitis       9         2         3         6         5         1
Mantas         Lukaitis       4         3         7         1         1         2
Tomas          Kazaitis       6         10        4         1         9         4
Tomas          Romaitis       2         3         9         2         3         8
Kazys          Tomaitis       5         7         6         3         1         8
Romas          Jonaitis       2         4         2         6         5         7
Romas          Tomaitis       3         7         2         9         2         9
Mantas         Virgaitis      6         9         9         10        9         6
Romas          Romaitis       6         6         4         3         10        9
Matas          Virgaitis      1         2         6         7         5         1
Matas          Valdaitis      10        9         2         3         5         2
Romas          Mantaitis      9         8         9         10        2         8
Matas          Mataitis       10        2         2         6         1         8
Virgis         Romaitis       7         4         3         10        2         4
Valdas         Antanaitis     9         9         8         2         9         9
Kazys          Virgaitis      8         8         4         4         3         8
Lukas          Tomaitis       3         8         9         10        1         4
Antanas        Jonaitis       8         6         5         7         1         8
Virgis         Tomaitis       7         2         9         3         8         7
Lukas          Romaitis       1         3         4         5         8         10
Lukas          Lukaitis       8         2         6         10        3         7
Kazys          Antanaitis     10        5         2         4         10        1
Mantas         Antanaitis     6         5         5         1         6         2
Lukas          Petraitis      6         7         10        3         2         8
Antanas        Mataitis       9         8         6         9         9         10
Mantas         Virgaitis      5         3         4         5         5         1
Romas          Valdaitis      7         5         6         7         10        1
Virgis         Mataitis       3         2         6         8         10        9
Valdas         Valdaitis      1         5         4         8         6         8
Jonas          Petraitis      6         10        4         5         10        9
Tomas          Kazaitis       8         6         7         3         6         9
Mantas         Mantaitis      6         3         3         9         2         5
Matas          Kazaitis       4         4         3         6         7         1
Valdas         Kazaitis       10        5         2         4         3         1
Antanas        Valdaitis      2         5         6         5         6         6
Valdas         Antanaitis     7         10        5         7         4         9
Petras         Mantaitis      9         6         1         1         6         4
Matas          Jonaitis       3         9         9         1         6         3
Tomas          Mataitis       3         2         1         5         4         5
Mantas         Antanaitis     2         1         2         3         5         10
Jonas          Mataitis       5         8         9         8         1         9
Kazys          Mantaitis      3         9         7         3         10        9
Antanas        Petraitis      4         2         4         1         6         8
Petras         Valdaitis      8         3         3         3         3         5
Jonas          Antanaitis     7         4         5         1         7         6
Romas          Romaitis       8         4         1         10        7         3
Virgis         Mantaitis      6         7         8         3         7         3
Petras         Petraitis      3         10        2         5         7         8
Romas          Mataitis       8         8         2         4         2         4
Kazys          Kazaitis       7         2         1         5         8         1
Lukas          Virgaitis      9         7         9         9         1         3
Valdas         Virgaitis      3         9         1         6         5         10
Romas          Virgaitis      5         8         5         2         9         6
Valdas         Mataitis       3         7         3         9         5         5
Virgis         Lukaitis       1         1         5         6         10        9
Mantas         Antanaitis     3         7         9         3         1         3
Petras         Petraitis      8         5         6         9         2         6
Antanas        Antanaitis     3         8         7         9         9         8
Matas          Valdaitis      5         3         10        7         2         5
Tomas          Kazaitis       7         7         1         4         2         6
Romas          Valdaitis      3         6         5         6         10        1
Antanas        Mantaitis      3         4         2         2         1         3
Virgis         Tomaitis       9         2         6         7         2         2
Kazys          Petraitis      5         5         2         8         10        5
Lukas          Kazaitis       4         4         7         7         10        7
Lukas          Antanaitis     5         4         4         8         1         6
Tomas          Romaitis       7         6         8         2         5         10
Jonas          Valdaitis      7         2         8         6         5         10
Jonas          Lukaitis       2         9         8         2         1         1
Lukas          Valdaitis      10        8         7         9         2         2
Romas          Tomaitis       2         4         8         7         7         7
Lukas          Tomaitis       8         7         1         7         8         8
Lukas          Mantaitis      4         8         6         9         9         3
Lukas          Tomaitis       9         10        1         3         3         1
Petras         Valdaitis      5         9         8         1         10        1
Valdas         Mataitis       8         4         10        9         8         3
Jonas          Lukaitis       8         6         2         5         7         10
Valdas         Romaitis       2         2         7         9         8         6
Romas          Antanaitis     4         10        2         6         3         3
Mantas         Antanaitis     8         9         10        5         2         2
Virgis         Petraitis      8         8         2         1         1         9
Kazys          Tomaitis       1         7         2         9         3         8
Matas          Antanaitis     4         8         5         5         2         2
Petras         Mataitis       3         3         10        1         3         1
Matas          Mantaitis      3         3         6         2         2         10
Tomas          Mataitis       2         9         10        4         10        1
Lukas          Petraitis      2         10        2         8         8         4
Antanas        Mataitis       4         6         2         7         10        6
Tomas          Romaitis       10        7         7         9         3         4
Lukas          Mataitis       2         3         2         10        3         9
Jonas          Lukaitis       1         2         4         2         4         4
Valdas         Kazaitis       1         1         1         6         3         4
Matas          Petraitis      9         2         4         8         4         7
Mantas         Antanaitis     6         1         1         5         1         1
Kazys          Petraitis      4         2         6         10        6         6
Antanas        Valdaitis      10        3         2         2         8         6
Lukas          Mantaitis      5         4         2         6         5         1
Lukas          Lukaitis       7         3         7         1         7         8
Jonas          Virgaitis      2         9         8         4         7         6
Virgis         Virgaitis      8         2         10        2         10        5
Valdas         Romaitis       8         5         6         8         7         6
Matas          Tomaitis       3         7         5         9         2         3
Antanas        Jonaitis       3         10        8         7         10        9
Virgis         Lukaitis       4         1         5         4         3         1
Jonas          Valdaitis      8         7         3         6         2         4
Petras         Mantaitis      7         7         6         9         1         4
Petras         Kazaitis       8         2         7         10        6         6
Jonas          Valdaitis      5         8         4         9         1         4
Matas          Jonaitis       3         9         3         4         4         2
Antanas        Antanaitis     2         8         10        2         3         7
Kazys          Lukaitis       5         3         4         5         4         4
Virgis         Romaitis       2         8         5         6         10        7
Romas          Tomaitis       6         1         5         1         2         7
Lukas          Tomaitis       6         2         4         1         3         9
Jonas          Tomaitis       6         4         3         4         9         1
Virgis         Mataitis       1         10        8         4         6         7
Antanas        Antanaitis     1         8         3         6         5         9
Jonas          Romaitis       4         1         8         6         7         10
Petras         Jonaitis       7         4         6         8         9         2
Antanas        Valdaitis      1         5         6         8         9         4
Petras         Mataitis       4         5         9         8         6         2
Matas          Antanaitis     2         9         6         10        4         7
Tomas          Kazaitis       4         10        10        1         8         6
Tomas          Mantaitis      3         10        9         1         9         2
Antanas        Romaitis       8         4         8         10        1         7
Virgis         Romaitis       9         5         8         9         2         2
Romas          Tomaitis       7         3         9         7         1         2
Virgis         Valdaitis      6         5         1         1         2         1
Romas          Antanaitis     1         1         2         10        3         7
Lukas          Petraitis      1         1         9         3         9         8
Virgis         Mantaitis      1         4         1         5         7         1
Lukas          Valdaitis      6         10        1         4         6         2
Valdas         Mataitis       6         10        2         3         4         6
Valdas         Petraitis      8         3         1         5         9         3
Mantas         Petraitis      8         1         5         7         3         7
Valdas         Kazaitis       5         9         8         2         6         1
Lukas          Antanaitis     4         5         5         7         6         8
Jonas          Romaitis       10        9         4         4         1         3
Mantas         Mataitis       6         8         3         2         3         2
Virgis         Petraitis      5         6         1         10        9         2
Tomas          Petraitis      4         6         5         9         6         4
Virgis         Lukaitis       9         3         4         4         10        3
Kazys          Lukaitis       8         3         1         7         7         3
Petras         Lukaitis       8         3         5         3         2         3
Kazys          Tomaitis       1         8         1         8         2         1
Mantas         Mantaitis      8         10        4         5         10        7
Antanas        Jonaitis       9         10        1         7         2         10
Petras         Jonaitis       9         3         4         8         9         2
Jonas          Virgaitis      6         4         8         6         6         3
Virgis         Petraitis      3         9         3         2         4         10
Matas          Petraitis      4         7         8         10        2         6
Kazys          Lukaitis       2         3         10        2         7         2
Lukas          Valdaitis      6         10        8         2         6         5
Romas          Kazaitis       1         7         5         3         7         5
Tomas          Valdaitis      9         3         3         1         3         9
Tomas          Virgaitis      7         6         3         10        10        4
Valdas         Lukaitis       7         4         6         1         6         9
Romas          Mantaitis      5         7         2         1         6         5
Virgis         Kazaitis       8         8         10        6         7         3
Virgis         Lukaitis       3         5         3         3         6         5
Matas          Tomaitis       7         8         1         9         6         8
Petras         Mataitis       6         4         3         7         2         7
Virgis         Kazaitis       9         5         3         4         1         4
Petras         Tomaitis       4         7         4         10        1         7
Kazys          Kazaitis       5         4         3         7         1         8
Mantas         Tomaitis       7         1         2         7         8         8
Jonas          Valdaitis      1         5         7         3         4         4
Petras         Lukaitis       1         1         9         2         3         10
Matas          Kazaitis       5         6         3         10        5         6
Kazys          Kazaitis       9         8         3         9         2         1
Kazys          Tomaitis       4         8         8         3         9         6
Virgis         Mantaitis      1         10        4         2         7         5
Lukas          Kazaitis       10        7         4         3         2         1
Matas          Antanaitis     2         3         2         2         7         3
Antanas        Mantaitis      7         3         9         5         9         7
Lukas          Petraitis      3         9         2         2         4         7
Jonas          Mataitis       8         1         4         4         4         9
Antanas        Petraitis      9         7         1         5         9         8
Mantas         Lukaitis       5         2         4         9         6         3
Matas          Virgaitis      1         4         2         7         8         6
Petras         Mantaitis      5         9         7         10        4         6
Petras         Romaitis       4         5         10        7         1         4
Kazys          Petraitis      6         9         3         4         4         8
Valdas         Jonaitis       4         5         1         5         8         1
Petras         Lukaitis       4         3         7         6         3         2
Antanas        Petraitis      9         1         9         7         3         9
Romas          Antanaitis     7         8         3         10        6         9
Tomas          Kazaitis       5         7         2         1         10        5
Antanas        Antanaitis     10        5         4         3         8         10
Kazys          Kazaitis       2         7         4         8         1         6
Virgis         Romaitis       5         9         9         10        2         7
Matas          Mataitis       2         8         1         5         7         6
Petras         Tomaitis       6         4         2         1         5         10
Virgis         Virgaitis      10        9         7         10        2         3
Jonas          Antanaitis     7         6         7         2         6         8
Tomas          Mantaitis      8         7         10        9         1         3
Mantas         Virgaitis      7         3         4         8         9         10
Lukas          Jonaitis       8         1         2         4         5         7
Tomas          Antanaitis     2         4         9         2         6         2
Romas          Jonaitis       5         6         7         8         5         5
Romas          Antanaitis     7         3         9         3         1         6
Virgis         Mantaitis      2         8         5         5         2         4
Kazys          Petraitis      3         4         10        2         5         5
Kazys          Lukaitis       5         10        9         1         2         3
Antanas        Valdaitis      3         5         3         4         9         4
Tomas          Mantaitis      2         4         5         2         1         6
Romas          Virgaitis      8         9         3         10        8         1
Romas          Virgaitis      6         2         3         5         9         1
Mantas         Petraitis      4         3         4         3         7         1
Romas          Petraitis      4         2         7         3         3         10
Kazys          Tomaitis       3         10        8         3         9         1
Virgis         Mantaitis      4         5         6         6         5         2
Romas          Virgaitis      1         8         7         10        2         2
Matas          Virgaitis      9         6         2         6         8         3
Petras         Valdaitis      6         6         5         10        10        2
Lukas          Tomaitis       1         4         3         9         3         2
Mantas         Valdaitis      10        4         1         2         3         5
Lukas          Mantaitis      4         6         2         6         6         2
Antanas        Petraitis      3         8         2         5         10        6
Petras         Jonaitis       6         3         6         1         5         10
Mantas         Kazaitis       6         1         10        7         4         2
Antanas        Mataitis       10        1         10        3         2         5
Mantas         Kazaitis       4         5         2         8         9         5
Petras         Mantaitis      7         2         9         6         4         3
Lukas          Valdaitis      3         2         6         1         1         4
Virgis         Valdaitis      6         3         5         7         8         5
Jonas          Antanaitis     4         8         6         6         4         2
Mantas         Antanaitis     8         5         4         7         10        7
Valdas         Tomaitis       5         7         7         3         9         1
Tomas          Mataitis       9         1         1         1         6         8
Kazys          Lukaitis       7         10        1         2         4         2
Petras         Antanaitis     6         5         4         5         7         1
Valdas         Kazaitis       10        6         2         10        2         8
Virgis         Mataitis       8         2         4         7         1         1
Mantas         Romaitis       1         3         4         3         8         9
Valdas         Mataitis       10        7         6         8         6         3
Tomas          Mantaitis      6         7         9         9         2         2
Jonas          Kazaitis       6         3         1         2         2         7
Jonas          Valdaitis      4         3         4         2         4         1
Petras         Mataitis       9         8         9         7         4         2
Jonas          Antanaitis     1         2         9         10        6         7
Virgis         Kazaitis       5         9         3         6         2         9
Lukas          Jonaitis       8         9         3         6         5         4
Valdas         Mantaitis      8         6         8         4         3         9
Lukas          Antanaitis     5         4         1         4         4         7
Antanas        Tomaitis       2         10        3         2         3         9
Jonas          Romaitis       7         9         3         1         10        3
Lukas          Mantaitis      1         10        3         10        6         8
Antanas        Petraitis      6         9         9         3         1         6
Kazys          Petraitis      5         8         3         1         4         8
Jonas          Mantaitis      8         10        9         1         3         3
Mantas         Tomaitis       4         10        6         10        8         3
Virgis         Lukaitis       8         5         2         4         4         10
Tomas          Petraitis      1         4         6         4         10        4
Petras         Petraitis      8         4         3         3         9         8
Virgis         Petraitis      8         3         3         1         5         5
Matas          Valdaitis      2         6         4         9         2         9
Jonas          Virgaitis      6         1         2         7         10        3
Kazys          Virgaitis      7         5         5         7         5         1
Lukas          Tomaitis       3         7         6         7         7         8
Valdas         Kazaitis       10        6         10        10        4         6
Virgis         Lukaitis       7         4         2         9         10        2
Petras         Antanaitis     10        2         2         3         1         2
Romas          Valdaitis      4         10        9         9         6         1
Antanas        Kazaitis       2         9         1         10        10        7
Jonas          Kazaitis       5         6         6         2         9         4
Antanas        Jonaitis       5         6         4         8         6         8
Mantas         Petraitis      10        2         10        4         9         9
Tomas          Petraitis      6         4         5         4         9         3
Jonas          Petraitis      7         3         2         1         7         4
Lukas          Romaitis       4         9         2         3         2         3
Romas          Valdaitis      6         2         1         4         8         4
Jonas          Tomaitis       3         8         8         3         9         7
Matas          Mataitis       4         4         8         2         7         9
